Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
United States of America,United States,1961,Earths,0.012337116817872865,1.6521300581758491,0.3258282605397246,0.032623324763074744,0.3569113253631079,0.20353125106926345,2.5833613367288955,3A,US
United States of America,United States,1962,Earths,0.012390118914203049,1.7313710297176264,0.31690537920457684,0.03223923510472009,0.37096816170077845,0.20594837028112042,2.669822294923022,3A,US
United States of America,United States,1963,Earths,0.013145890859546462,1.8526358879524205,0.331456513180057,0.031959163901082624,0.3666408771069508,0.20502424210686684,2.800862575106926,3A,US
United States of America,United States,1964,Earths,0.012685394800357748,1.9469107192704136,0.29359797334046667,0.030355838518948026,0.3882575463768634,0.1938868673152977,2.8656943396223493,3A,US
United States of America,United States,1965,Earths,0.014416333631754753,2.074984009836579,0.33689304127363134,0.031152232249161988,0.4044572677471538,0.19803503056599922,3.0599379153042774,3A,US
United States of America,United States,1966,Earths,0.014261473732081214,2.21049833877261,0.3142771344384752,0.0312755813693903,0.4159678168879188,0.20207087664538895,3.188351221845866,3A,US
United States of America,United States,1967,Earths,0.015657807384005424,2.3081251138461107,0.36199063414688765,0.03086110015762806,0.4063070096237037,0.19682102941502333,3.319762694573359,3A,US
United States of America,United States,1968,Earths,0.015973217159847695,2.4755787736382344,0.3925161232654421,0.03050438610457952,0.4350531248678701,0.20400022085909078,3.5536258458950636,3A,US
United States of America,United States,1969,Earths,0.015829650910263438,2.6083207310259846,0.4136126790120963,0.030826461694730092,0.4433114929129584,0.19739959920397485,3.709300614759997,3A,US
United States of America,United States,1970,Earths,0.015339985159213015,2.7720151486309996,0.3684389575158017,0.034377555561736696,0.44017688632703467,0.19954326504705105,3.82989179824184,3A,US
United States of America,United States,1971,Earths,0.01757347579415783,2.845540044713273,0.43569166985648383,0.033707465474107585,0.4622045076001327,0.19415872399144773,3.9888758874296077,3A,US
United States of America,United States,1972,Earths,0.017595285968213532,3.063901589827719,0.3922771562757239,0.03566849700734573,0.4657860184813868,0.20094597358628605,4.176174521146688,3A,US
United States of America,United States,1973,Earths,0.0187213127475049,3.205297086210734,0.3590250504257744,0.03639215676221853,0.47358063899294556,0.19590284934274715,4.28891909448194,3A,US
United States of America,United States,1974,Earths,0.017123832641653496,3.114929737036987,0.32920379881439565,0.037760778446442496,0.47083597361666263,0.18876253809854074,4.158616658654684,3A,US
United States of America,United States,1975,Earths,0.019772182182917226,2.9740173532746397,0.390504621819513,0.0387405260049079,0.4192496346575094,0.19091587588592382,4.033200193825413,3A,US
United States of America,United States,1976,Earths,0.019853329649060242,3.20037076668554,0.38147358286134153,0.041887802000420186,0.4695442643412839,0.1988108059247252,4.311940551462352,3A,US
United States of America,United States,1977,Earths,0.02140887289491037,3.367896393578839,0.414661213478277,0.03845206486315239,0.49017086459896014,0.19834936211817192,4.530938771532331,3A,US
United States of America,United States,1978,Earths,0.02166804108055702,3.314500250272949,0.37275267909208987,0.04036360657588994,0.5433028481587235,0.2000235693841525,4.492610994564383,3A,US
United States of America,United States,1979,Earths,0.02413872991154564,3.3854732111394865,0.41938119845446026,0.04219739103151835,0.5536179561459631,0.20054778550555838,4.625356272188536,3A,US
United States of America,United States,1980,Earths,0.02219677586809593,3.1610826479417065,0.31461682027200377,0.041779668253279466,0.5102454492441875,0.19754677570140058,4.247468137280672,3A,US
United States of America,United States,1981,Earths,0.025906520669743808,3.059468468190306,0.4058271851876721,0.044994211708673446,0.5036525076036317,0.19569629839870548,4.235545191758735,3A,US
United States of America,United States,1982,Earths,0.02700965936110078,2.864561361748897,0.44109492021498276,0.04532005304778891,0.4874150816466673,0.1996879781723278,4.065089054191769,3A,US
United States of America,United States,1983,Earths,0.020451523288889842,2.896140049705885,0.2541776502333485,0.04780045049275774,0.5569044599539001,0.20196462180208943,3.977438755476869,3A,US
United States of America,United States,1984,Earths,0.0264949651644907,3.0513924174869604,0.4132314471450043,0.04940163662549063,0.60571087738466,0.1961923516661043,4.342423695472708,3A,US
United States of America,United States,1985,Earths,0.028267906644242176,3.1067066616668217,0.519890412351236,0.048505438344644755,0.6040846813513437,0.19867883144261395,4.506133931800904,3A,US
United States of America,United States,1986,Earths,0.026489626269346506,3.125804063089095,0.4680393390763732,0.048392711033583835,0.6491587856573009,0.20025990052059123,4.518144425646294,3A,US
United States of America,United States,1987,Earths,0.02640868047821953,3.2431779371062364,0.4077089745225099,0.0582143491108142,0.6690222869340342,0.20125252996533977,4.605784758117154,3A,US
United States of America,United States,1988,Earths,0.02173538945235557,3.4542116490035113,0.2523184337561017,0.055929764165444575,0.6597965056047694,0.20279794272880186,4.646789684710982,3A,US
United States of America,United States,1989,Earths,0.02645940850927467,3.467121171468535,0.3634118899308271,0.06408692012362663,0.6567039037376103,0.1961568877447879,4.773940181514662,3A,US
United States of America,United States,1990,Earths,0.029227487362016025,3.3678905643723875,0.4540318581405015,0.0642164025160236,0.6565919780305325,0.2006590545660907,4.772617344987555,3A,US
United States of America,United States,1991,Earths,0.02762984653370312,3.3904033521789763,0.39314539496362344,0.05804796467394739,0.6156925529759817,0.2026978795219629,4.687616990848195,3A,US
United States of America,United States,1992,Earths,0.03173693416544642,3.464519037472562,0.4725597203749709,0.05977370116286847,0.6250934948652267,0.20570187236756923,4.859384760408645,3A,US
United States of America,United States,1993,Earths,0.02707164446430081,3.5807613205560074,0.351952218302596,0.06897036428725646,0.6437649134678826,0.20886471279584665,4.881385173873891,3A,US
United States of America,United States,1994,Earths,0.03370632547335058,3.6827128191045473,0.5120699768537371,0.07206991047652998,0.659536868723155,0.20158497441267909,5.161680875044001,3A,US
United States of America,United States,1995,Earths,0.02921539694165233,3.723665482882918,0.332255909412683,0.06778942852078046,0.6467480572615747,0.1975413179816668,4.997215593001278,3A,US
United States of America,United States,1996,Earths,0.03299936843142335,3.8131042991155315,0.4467415941574716,0.06476087603211483,0.6327526851204627,0.19108347089986877,5.181442293756879,3A,US
United States of America,United States,1997,Earths,0.03482043616918483,3.9896552396855776,0.4948992617484629,0.06605062287024677,0.6547438980221869,0.1934902772790789,5.433659735774711,3A,US
United States of America,United States,1998,Earths,0.035669235125364976,4.01987315333838,0.5109962524659365,0.06957910282534462,0.6731276875058759,0.19648055612023313,5.505725987381146,3A,US
United States of America,United States,1999,Earths,0.03567463617419586,3.968295426629803,0.4872512180303596,0.06803317256339768,0.6866768172054051,0.1955218693618051,5.4414531399649775,3A,US
United States of America,United States,2000,Earths,0.03679841137163291,4.042774713597272,0.48814496816890246,0.06262764852807472,0.6889204306147362,0.19600100327549952,5.515267175556122,3A,US
United States of America,United States,2001,Earths,0.035508548198794725,4.015241185536907,0.46709325263795654,0.06210909396630967,0.669074641340823,0.20078806984077271,5.44981479152157,3A,US
United States of America,United States,2002,Earths,0.034715496428033094,3.982555939095638,0.4263185792326189,0.06288462757936952,0.6810105996362327,0.20646222585077886,5.3939474678226675,3A,US
United States of America,United States,2003,Earths,0.037421923790705636,4.067470955013056,0.4753249826354791,0.06767856122266651,0.6887700536191897,0.19710088786297364,5.533767364144067,3A,US
United States of America,United States,2004,Earths,0.04198807544217482,4.118367594744429,0.568178041354937,0.06715048385141632,0.7049814887685472,0.21737853008243932,5.7180442142439265,3A,US
United States of America,United States,2005,Earths,0.040979596546906284,4.248674988818099,0.5463946735017248,0.06999872262345884,0.7133345201727739,0.2191718680126647,5.838554369675647,3A,US
United States of America,United States,2006,Earths,0.04044722046361709,4.262044134916404,0.4978329835370356,0.06942211646146323,0.6924047561710431,0.21262161253845194,5.774772824088037,3A,US
United States of America,United States,2007,Earths,0.04162795421005445,4.255925442590758,0.5295721638164316,0.06726454215840197,0.6132125004648186,0.20970665569251826,5.717309258932983,3A,US
United States of America,United States,2008,Earths,0.043187223636442174,4.028557777725735,0.5380370013661744,0.06605204277126374,0.5160332113177106,0.1978935759008994,5.389760832718229,3A,US
United States of America,United States,2009,Earths,0.04734655447298859,3.66989339648615,0.5982787491122309,0.06532477055690601,0.42691992185967265,0.2001882052552078,5.007951597743159,3A,US
United States of America,United States,2010,Earths,0.04613272141757599,3.9209693409976905,0.5405803133616999,0.07197067082930139,0.4826440778250344,0.1932940827454924,5.255591207176798,3A,US
United States of America,United States,2011,Earths,0.044398745847314236,3.7328625160371747,0.509054534306168,0.07401331161823474,0.48395340092861444,0.18228908931354712,5.026571598051052,3A,US
United States of America,United States,2012,Earths,0.04516052937955399,3.5666464373431426,0.5385369343707768,0.07409548716072083,0.4796111539509684,0.1883431086723399,4.892393650877502,3A,US
United States of America,United States,2013,Earths,0.048546414046010594,3.6150437281690757,0.5908971340079261,0.0814741704714146,0.48690718460252114,0.18362391796549524,5.006492549262439,3A,US
United States of America,United States,2014,Earths,0.05018667734989564,3.5720466405283124,0.602519052132497,0.08169811445544356,0.49479286282604307,0.19587300944877717,4.997116356740967,3A,US
United States of America,United States,2015,Earths,0.05160188004665798,3.5035741818394004,0.6241901487892048,0.08025313203331004,0.5017918015498829,0.20480804535669042,4.966219189615149,3A,US
United States of America,United States,2016,Earths,0.055641555649317324,3.4656892003852424,0.6492250008859829,0.07887908754951659,0.5254722935998368,0.19783501463593622,4.972742152705834,3A,US
