Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
China,China,1961,Earths,0.011681306299927955,0.08848744244708705,0.08545230226936891,0.007696215447361243,0.06411499259481494,0.04413861362578089,0.30157087268434085,3A,CN
China,China,1962,Earths,0.012903898507656502,0.07176558228940534,0.09099429809188873,0.008196776790868245,0.06260676970974094,0.04414576985726016,0.2906130952468196,3A,CN
China,China,1963,Earths,0.013648400541482008,0.07315972144212372,0.09503719020532334,0.008154753981634335,0.06412331164999516,0.04432951953795022,0.29845289735850894,3A,CN
China,China,1964,Earths,0.015006443038208594,0.07344441611940042,0.10197692909082513,0.008000633836175115,0.06483381940150526,0.04410115458436414,0.30736339607047874,3A,CN
China,China,1965,Earths,0.016451564443882377,0.08011624087237317,0.10877496540425761,0.008311440272963969,0.06554127380064086,0.044432009949201774,0.3236274947433196,3A,CN
China,China,1966,Earths,0.01800791928165485,0.08751571652888356,0.1147378288561685,0.00839302781092515,0.06528479944793976,0.04462344407809908,0.3385627360036707,3A,CN
China,China,1967,Earths,0.01850631238428074,0.07360320109746693,0.11369397069825089,0.008485272967263422,0.06483817053883272,0.04523861081502476,0.3243655385011197,3A,CN
China,China,1968,Earths,0.018313061602219693,0.07853205356962609,0.10944437910069098,0.009261508098165686,0.06514837669559394,0.045093906831494515,0.325793285897791,3A,CN
China,China,1969,Earths,0.018940158204905758,0.0957023326736816,0.10979062098933444,0.00907719666002422,0.0650412388972511,0.04563182161688702,0.3441833690420844,3A,CN
China,China,1970,Earths,0.021369903052997075,0.12695796430791187,0.12118727526824513,0.008743101254195034,0.06515515988206419,0.04646487103036892,0.3898782747957821,3A,CN
China,China,1971,Earths,0.022373211099342736,0.14202710598825236,0.12188947256785311,0.008849458159658458,0.06579565170908971,0.0465768364666552,0.40751173599085255,3A,CN
China,China,1972,Earths,0.022447862392344607,0.15203874272317056,0.12048736285283387,0.01070795348228265,0.06783633836332993,0.04789172680725378,0.42140998662121343,3A,CN
China,China,1973,Earths,0.024011779994162923,0.15874729855092468,0.12664735937642976,0.011620556722987892,0.06814859135356684,0.04782784194104981,0.4370034279391207,3A,CN
China,China,1974,Earths,0.025074035776377634,0.15987344131706469,0.12970085100158743,0.011595662009094966,0.07112732151068142,0.04900307064365995,0.4463743822584664,3A,CN
China,China,1975,Earths,0.026196844805047737,0.18293928917435245,0.13008853019131955,0.010765779644173211,0.0763610007815818,0.0498588248616194,0.47621026945809447,3A,CN
China,China,1976,Earths,0.027007175905536092,0.19145473282849812,0.13145254409365353,0.0102328166989441,0.07874949472977229,0.05048310558235642,0.48937986983875903,3A,CN
